Titre;Type de dossier;Date initiale;URL du dossier;État du dossier;Décision du CC;Date de la décision;Date de promulgation;Numéro de la loi;Thèmes
proposition de loi tendant à consolider et clarifier l'organisation de la manutention dans les ports maritimes;proposition de loi;20/05/2015;http://www.senat.fr/dossier-legislatif/ppl14-565.html;promulgué;;;08/12/2015;2015-1592;Aménagement du territoire, Transports
projet de loi portant diverses dispositions d'adaptation au droit de l'Union européenne dans le domaine de la prévention des risques;projet de loi;15/07/2015;http://www.senat.fr/dossier-legislatif/pjl14-693.html;promulgué;;;02/12/2015;2015-1567;Recherche, sciences et techniques
proposition de loi Surveillance des communications électroniques internationales;proposition de loi;09/09/2015;http://www.senat.fr/dossier-legislatif/ppl15-006.html;promulgué;;26/11/2015;30/11/2015;2015-1556;Affaires étrangères et coopération, Recherche, sciences et techniques, Société
proposition de loi visant à protéger les sportifs de haut niveau et professionnels et à sécuriser leur situation juridique et sociale;proposition de loi;15/04/2015;http://www.senat.fr/dossier-legislatif/ppl14-489.html;promulgué;;;27/11/2015;2015-1541;Sports
projet de loi prorogeant l'application de la loi n° 55-385 du 3 avril 1955 relative à l'état d'urgence et renforçant l'efficacité de ses dispositions;projet de loi;18/11/2015;http://www.senat.fr/dossier-legislatif/pjl15-176.html;promulgué;;;20/11/2015;2015-1501;Défense, Police et sécurité, Pouvoirs publics et Constitution
proposition de loi organique portant diverses dispositions relatives à la collectivité de Saint-Barthélemy;proposition de loi organique;17/04/2014;http://www.senat.fr/dossier-legislatif/ppl13-473.html;promulgué;partiellement conforme;12/11/2015;17/11/2015;2015-1485;Collectivités territoriales, Outre-mer, Pouvoirs publics et Constitution
projet de loi autorisant la ratification du protocole facultatif à la convention relative aux droits de l'enfant établissant une procédure de présentation de communications;projet de loi;26/08/2015;http://www.senat.fr/dossier-legislatif/pjl15-109.html;promulgué;;;12/11/2015;2015-1463;Affaires étrangères et coopération, Famille, Société
projet de loi autorisant la ratification de l'accord d'association entre l'Union européenne et la Communauté européenne de l'énergie atomique et leurs États membres, d'une part, et la Géorgie, d'autre part;projet de loi;20/05/2015;http://www.senat.fr/dossier-legislatif/pjl14-559.html;promulgué;;;09/11/2015;2015-1448;Affaires étrangères et coopération, Énergie, Union européenne
proposition de loi visant à modifier l'article 11 de la loi n° 2004-1 du 2 janvier 2004 relative à l'accueil et à la protection de l'enfance;proposition de loi;14/05/2014;http://www.senat.fr/dossier-legislatif/ppl13-531.html;promulgué;;;05/11/2015;2015-1402;Famille, Justice, Société
projet de loi autorisant la ratification du protocole pour éliminer le commerce illicite des produits du tabac;projet de loi;29/04/2015;http://www.senat.fr/dossier-legislatif/pjl14-696.html;promulgué;;;26/10/2015;2015-1350;Affaires étrangères et coopération, Économie et finances, fiscalité, Police et sécurité, Traités et conventions
